COXORB Performance Data   22:44  12/03/2026 

Distance,Elapsed Time,Stroke Count,Rate,Check,Speed (mm:ss/500m),Speed (m/s),Distance/Stroke 
02425,0:07:52.3,00245,030.8,018,01:44,04.82,09.47
02450,0:07:57.5,00248,030.5,016,01:44,04.81,09.44
02475,0:08:02.5,00250,030.5,012,01:42,04.92,09.54
02500,0:08:07.7,00253,030.9,016,01:43,04.85,09.42
02525,0:08:12.9,00255,031.0,015,01:44,04.82,09.40
02550,0:08:18.1,00258,030.9,015,01:43,04.84,09.40
02575,0:08:23.1,00261,030.9,014,01:42,04.90,09.40
02600,0:08:28.1,00263,030.8,013,01:40,04.99,09.58
02625,0:08:33.3,00266,030.6,017,01:43,04.87,09.55
02650,0:08:38.5,00269,031.1,017,01:43,04.85,09.31
02675,0:08:43.5,00271,030.7,017,01:42,04.91,09.56
02700,0:08:48.5,00274,030.7,019,01:39,05.06,09.78
02725,0:08:53.3,00276,030.4,016,01:37,05.15,10.06
02750,0:08:58.3,00279,031.1,016,01:42,04.89,09.61
02775,0:09:03.1,00281,030.7,015,01:37,05.16,09.87
02800,0:09:08.1,00284,031.0,017,01:39,05.03,09.74
02825,0:09:13.1,00286,031.3,018,01:38,05.11,09.69
02850,0:09:17.9,00289,031.1,018,01:39,05.04,09.73
02875,0:09:22.9,00292,031.1,017,01:39,05.05,09.70
02900,0:09:27.7,00294,031.3,016,01:37,05.13,09.73
02925,0:09:32.9,00297,031.2,016,01:41,04.97,09.55
02950,0:09:37.9,00299,031.3,016,01:41,04.94,09.48
02975,0:09:42.9,00302,031.2,017,01:40,04.99,09.48
03000,0:09:48.1,00305,030.6,019,01:43,04.84,09.44
03025,0:09:53.1,00307,030.7,021,01:40,04.99,09.65
03050,0:09:58.3,00310,030.2,021,01:44,04.83,09.66
03075,0:10:03.1,00312,030.3,020,01:41,04.94,09.62
03100,0:10:08.1,00315,030.7,016,01:38,05.12,09.87
03125,0:10:13.1,00317,031.0,013,01:41,04.93,09.59
03150,0:10:18.1,00320,030.4,016,01:39,05.04,09.83
03175,0:10:22.9,00322,030.6,016,01:37,05.15,09.89
03200,0:10:27.9,00325,030.9,018,01:39,05.06,09.85
03225,0:10:32.7,00327,031.1,019,01:39,05.03,09.79
03250,0:10:37.5,00330,031.3,018,01:37,05.14,09.69
03275,0:10:42.7,00333,031.0,018,01:40,04.99,09.69
03300,0:10:47.7,00335,030.9,023,01:44,04.83,09.45
03325,0:10:52.9,00338,030.3,019,01:42,04.89,09.67
03350,0:10:58.1,00340,030.3,016,01:45,04.75,09.38
03375,0:11:03.1,00343,030.7,016,01:42,04.90,09.46
03400,0:11:08.3,00346,031.3,014,01:41,04.97,09.48
03425,0:11:13.1,00348,031.5,014,01:39,05.06,09.48
03450,0:11:18.1,00351,030.9,015,01:39,05.04,09.75
03475,0:11:23.1,00353,030.9,016,01:38,05.09,09.85
03500,0:11:27.9,00356,031.7,015,01:39,05.05,09.57
03525,0:11:32.9,00359,030.8,016,01:38,05.08,09.82
03550,0:11:37.7,00361,030.8,013,01:38,05.08,09.81
03575,0:11:42.7,00364,031.0,012,01:40,05.02,09.76
03600,0:11:47.7,00366,030.5,021,01:40,05.02,09.91
03625,0:11:52.9,00369,030.1,018,01:44,04.82,09.70
03650,0:11:57.9,00371,030.2,010,01:42,04.91,09.61
03675,0:12:02.9,00374,030.5,015,01:37,05.13,09.94
03700,0:12:07.7,00376,030.3,015,01:39,05.07,10.05
03725,0:12:12.5,00379,030.4,011,01:36,05.19,10.09
03750,0:12:17.3,00381,030.4,011,01:36,05.22,10.22
03775,0:12:22.3,00384,030.4,015,01:38,05.09,10.02
03800,0:12:26.9,00386,030.1,017,01:35,05.26,10.38
03825,0:12:31.7,00388,030.4,019,01:35,05.24,10.24
03850,0:12:36.5,00391,030.9,020,01:36,05.21,10.15
03875,0:12:41.1,00393,030.5,016,01:35,05.27,10.20
03900,0:12:45.9,00396,031.1,014,01:36,05.22,10.12
03925,0:12:50.7,00398,030.8,015,01:33,05.36,10.32
03950,0:12:55.3,00401,030.9,017,01:33,05.36,10.34
03975,0:12:59.9,00403,031.1,017,01:34,05.33,10.20
04000,0:13:04.7,00405,031.1,017,01:34,05.30,10.33
04025,0:13:09.3,00408,030.9,017,01:34,05.34,10.32
04050,0:13:14.1,00410,030.7,014,01:35,05.24,10.34
04075,0:13:18.9,00413,031.0,014,01:36,05.21,10.01
04100,0:13:23.5,00415,031.0,019,01:34,05.30,10.23
04125,0:13:28.3,00418,031.2,020,01:35,05.29,10.23
04150,0:13:33.1,00420,030.9,017,01:33,05.36,10.26
04175,0:13:37.9,00423,030.9,020,01:36,05.22,10.21
04200,0:13:42.5,00425,031.2,018,01:36,05.20,09.92
04225,0:13:47.5,00428,031.2,014,01:37,05.18,09.94
04250,0:13:52.0,00430,031.3,022,01:35,05.26,09.98
04275,0:13:56.8,00432,031.6,020,01:36,05.19,09.92
04300,0:14:01.7,00435,031.4,018,01:36,05.22,10.01
04325,0:14:06.6,00438,031.7,024,01:37,05.13,09.78
