COXORB Performance Data   16:02  20/01/2023 
Distance,Elapsed Time,Stroke Count,Rate,Check,Speed (mm:ss/500m),Speed (m/s),Distance/Stroke 
02500,0:08:52.7,00272,030.2,029,01:50,04.55,08.98
02525,0:08:58.3,00275,030.5,031,01:52,04.46,08.86
02550,0:09:03.7,00277,030.5,028,01:51,04.49,08.76
02575,0:09:09.1,00280,030.1,028,01:49,04.59,09.03
02600,0:09:14.5,00283,030.2,028,01:48,04.63,09.11
02625,0:09:19.9,00286,030.2,028,01:50,04.56,09.03
02650,0:09:25.3,00288,030.5,028,01:48,04.64,09.07
02675,0:09:30.7,00291,030.7,029,01:47,04.68,09.08
02700,0:09:35.9,00294,031.0,030,01:46,04.71,09.04
02725,0:09:41.3,00297,031.1,030,01:47,04.66,09.01
02750,0:09:46.7,00299,031.1,029,01:46,04.72,09.00
02775,0:09:52.1,00302,030.6,029,01:48,04.63,09.13
02800,0:09:57.5,00305,030.8,027,01:49,04.57,08.94
02825,0:10:02.9,00308,031.0,027,01:49,04.59,08.82
02850,0:10:08.1,00310,031.1,029,01:47,04.68,08.96
02875,0:10:13.7,00313,031.0,029,01:49,04.60,08.94
02900,0:10:19.1,00316,030.3,029,01:49,04.58,09.11
02925,0:10:24.5,00319,031.2,028,01:49,04.58,08.79
02950,0:10:29.9,00322,030.8,028,01:50,04.56,08.87
02975,0:10:35.3,00324,031.0,028,01:49,04.59,08.79
03000,0:10:40.9,00327,030.8,028,01:49,04.57,08.91
03025,0:10:46.3,00330,030.7,029,01:50,04.54,08.87
03050,0:10:51.9,00333,030.6,028,01:49,04.58,08.95
03075,0:10:57.3,00336,030.8,027,01:50,04.54,08.80
03100,0:11:02.7,00339,031.2,028,01:49,04.57,08.72
03125,0:11:08.1,00341,031.5,027,01:48,04.61,08.72
03150,0:11:13.3,00344,031.6,030,01:44,04.79,08.97
03175,0:11:18.5,00347,031.4,029,01:45,04.76,09.09
03200,0:11:23.9,00350,031.5,028,01:48,04.61,08.82
03225,0:11:29.3,00353,031.3,028,01:49,04.59,08.78
03250,0:11:34.7,00355,031.1,029,01:49,04.59,08.84
03275,0:11:40.1,00358,031.3,030,01:48,04.62,08.85
03300,0:11:45.5,00361,031.1,030,01:47,04.67,09.05
03325,0:11:50.9,00364,031.4,028,01:48,04.63,08.82
03350,0:11:56.3,00367,031.2,027,01:47,04.68,08.99
03375,0:12:01.7,00369,031.0,027,01:47,04.66,08.95
03400,0:12:06.9,00372,030.9,028,01:48,04.64,08.94
03425,0:12:12.3,00375,031.1,028,01:46,04.70,09.02
03450,0:12:17.7,00378,030.5,029,01:48,04.63,09.05
03475,0:12:22.9,00380,031.1,029,01:46,04.73,08.97
03500,0:12:28.3,00383,030.9,027,01:46,04.70,09.01
03525,0:12:33.7,00386,030.8,028,01:46,04.70,09.12
03550,0:12:38.9,00389,030.6,029,01:47,04.68,09.17
03575,0:12:44.1,00391,031.0,028,01:45,04.74,09.06
03600,0:12:49.3,00394,030.9,029,01:45,04.76,09.19
03625,0:12:54.5,00397,031.0,029,01:45,04.74,09.20
03650,0:12:59.7,00400,031.0,030,01:44,04.79,09.25
